travel_score,shopping_score,dining_score,fuel_score,groceries_score,income,preferred_bank,target_card
14,35,30,2,19,35000,HDFC,Tata Neu Infinity Credit Card
8,23,30,14,25,75000,Standard Chartered,Super Value Titanium Credit Card
17,23,25,16,19,25000,IDFC First,First Classic Credit Card
21,13,21,17,28,75000,Axis,Tata Neu Infinity Credit Card
7,11,8,36,39,75000,Kotak,White Credit Card
2,34,19,12,33,35000,Kotak,BankBazaar Credit Card
5,27,9,52,8,120000,HDFC,Tata Neu Infinity Credit Card
19,22,9,24,26,200000,HDFC,Millennia Credit Card
3,42,3,52,0,50000,ICICI,Amazon Pay Credit Card
24,32,23,7,14,75000,IDFC First,Regalia Gold
13,20,31,27,9,75000,SBI,Coral Credit Card
29,11,13,35,12,200000,ICICI,HPCL Super Saver Credit Card
42,8,27,10,14,75000,RBL,BankBazaar Credit Card
6,0,9,85,0,25000,HDFC,BPCL Octane Credit Card
27,31,0,20,21,120000,Yes Bank,YES First Business Credit Card
51,1,3,13,32,50000,Citibank,Cashback Credit Card
7,16,24,29,23,120000,Standard Chartered,Super Value Titanium Credit Card
33,31,9,11,17,35000,RBL,BankBazaar Credit Card
14,23,14,44,5,75000,IDFC First,Vistara Infinite Credit Card
62,7,15,8,7,200000,Standard Chartered,Super Value Titanium Credit Card
15,15,25,20,25,120000,Kotak,PVR Platinum Credit Card
17,17,23,9,35,25000,Axis,Ace Credit Card
15,11,23,5,46,25000,Yes Bank,SimplyCLICK Credit Card
43,14,22,12,9,120000,ICICI,HPCL Super Saver Credit Card
36,41,0,10,13,25000,IDFC First,Flipkart Axis Bank Credit Card
23,25,0,44,7,75000,IDFC First,Vistara Infinite Credit Card
13,21,24,18,23,75000,Yes Bank,Super Value Titanium Credit Card
27,24,12,0,37,50000,IDFC First,Vistara Infinite Credit Card
10,25,18,19,28,120000,HDFC,Tata Neu Infinity Credit Card
10,24,48,6,12,75000,HDFC,Regalia Gold
4,28,20,26,22,25000,Axis,My Zone Credit Card
13,13,23,37,14,50000,HDFC,Millennia Credit Card
22,5,35,31,6,25000,Axis,My Zone Credit Card
29,32,4,31,3,200000,Yes Bank,YES First Business Credit Card
13,6,38,27,16,25000,HDFC,BPCL Octane Credit Card
34,14,8,28,16,120000,IDFC First,Vistara Infinite Credit Card
16,28,22,6,28,75000,IDFC First,First Wealth Credit Card
27,16,23,26,8,35000,HDFC,Tata Neu Infinity Credit Card
29,1,14,25,31,120000,RBL,BankBazaar Credit Card
1,1,27,21,50,35000,IDFC First,First Classic Credit Card
27,0,38,25,10,75000,HDFC,Regalia Gold
17,1,27,30,24,75000,Kotak,White Credit Card
26,16,21,7,29,75000,RBL,BankBazaar Credit Card
31,12,17,22,18,25000,Yes Bank,Amazon Pay Credit Card
8,21,28,31,11,120000,Kotak,PVR Platinum Credit Card
21,36,14,0,28,200000,Axis,Flipkart Axis Bank Credit Card
30,30,20,10,10,200000,Standard Chartered,My Zone Credit Card
32,10,37,2,20,35000,ICICI,Tata Neu Infinity Credit Card
16,14,2,36,32,50000,RBL,BankBazaar Credit Card
51,2,15,29,2,25000,SBI,SimplyCLICK Credit Card
43,20,11,4,23,200000,IDFC First,Regalia Gold
17,13,16,20,35,25000,Yes Bank,BPCL Octane Credit Card
23,13,21,18,24,200000,RBL,BankBazaar Credit Card
18,6,35,31,10,35000,ICICI,HPCL Super Saver Credit Card
12,40,12,25,11,35000,Citibank,Cashback Credit Card
30,23,11,22,13,50000,Axis,Flipkart Axis Bank Credit Card
18,23,18,27,15,75000,Citibank,Cashback Credit Card
30,17,9,21,22,120000,ICICI,Amazon Pay Credit Card
5,2,11,40,42,200000,Standard Chartered,Super Value Titanium Credit Card
11,21,32,20,16,50000,Citibank,Cashback Credit Card
18,22,19,24,17,200000,Axis,Flipkart Axis Bank Credit Card
35,16,1,16,31,200000,IDFC First,Amazon Pay Credit Card
51,6,5,4,34,200000,SBI,BPCL Octane Credit Card
3,25,43,19,10,25000,Citibank,Amazon Pay Credit Card
24,14,27,19,16,35000,SBI,BPCL Octane Credit Card
16,25,14,18,28,35000,Axis,Ace Credit Card
22,33,13,14,17,50000,Axis,Flipkart Axis Bank Credit Card
26,5,20,28,20,75000,Axis,Flipkart Axis Bank Credit Card
29,30,2,26,13,25000,Axis,My Zone Credit Card
24,22,11,23,20,50000,HDFC,Tata Neu Infinity Credit Card
25,36,25,14,0,25000,Kotak,Coral Credit Card
27,24,26,16,8,50000,Axis,Ace Credit Card
44,18,24,1,13,35000,IDFC First,First Classic Credit Card
21,24,23,10,21,200000,Axis,Flipkart Axis Bank Credit Card
12,3,31,27,27,75000,Citibank,Cashback Credit Card
36,32,5,12,15,35000,Yes Bank,Flipkart Axis Bank Credit Card
23,20,11,23,23,35000,RBL,BankBazaar Credit Card
28,8,20,13,30,200000,Yes Bank,YES First Business Credit Card
9,24,23,24,20,50000,SBI,SimplyCLICK Credit Card
8,25,8,27,33,35000,ICICI,Coral Credit Card
34,5,18,28,15,25000,Kotak,PVR Platinum Credit Card
31,13,7,40,10,35000,Citibank,Cashback Credit Card
56,29,0,14,1,25000,SBI,SimplySAVE Credit Card
19,3,24,23,30,35000,Kotak,My Zone Credit Card
25,7,40,16,12,35000,Yes Bank,Amazon Pay Credit Card
14,33,17,25,12,50000,Kotak,White Credit Card
25,1,22,26,26,200000,Standard Chartered,Super Value Titanium Credit Card
6,15,32,12,34,75000,Kotak,White Credit Card
33,21,17,21,8,25000,Kotak,PVR Platinum Credit Card
34,29,11,19,6,35000,Kotak,PVR Platinum Credit Card
4,17,27,16,36,120000,IDFC First,First Classic Credit Card
13,20,27,34,6,200000,RBL,BankBazaar Credit Card
8,3,29,29,31,200000,RBL,BankBazaar Credit Card
23,12,24,23,19,200000,ICICI,Flipkart Axis Bank Credit Card
21,5,51,17,6,200000,Axis,Flipkart Axis Bank Credit Card
30,35,11,13,10,50000,IDFC First,Vistara Infinite Credit Card
22,30,2,12,35,50000,Yes Bank,YES First Business Credit Card
19,26,8,23,24,200000,SBI,SimplyCLICK Credit Card
30,10,6,40,14,120000,IDFC First,First Classic Credit Card
18,17,35,13,17,25000,ICICI,HPCL Super Saver Credit Card
25,11,1,33,30,35000,Citibank,Cashback Credit Card
5,22,6,42,25,50000,Axis,Ace Credit Card
10,35,25,20,10,75000,Axis,Flipkart Axis Bank Credit Card
6,1,26,38,29,200000,Citibank,White Credit Card
35,1,17,16,31,120000,Axis,Flipkart Axis Bank Credit Card
20,18,22,20,20,75000,Citibank,Regalia Gold
22,15,28,16,20,25000,IDFC First,Ace Credit Card
29,26,9,23,12,35000,Axis,Ace Credit Card
8,27,35,20,10,120000,Yes Bank,YES First Business Credit Card
24,9,30,26,11,50000,IDFC First,Vistara Infinite Credit Card
26,15,10,16,32,75000,Kotak,League Platinum Credit Card
29,24,7,1,40,25000,Kotak,Amazon Pay Credit Card
19,22,27,10,22,25000,Citibank,Super Value Titanium Credit Card
34,4,12,35,16,200000,Yes Bank,YES First Business Credit Card
23,8,13,32,25,200000,Yes Bank,YES First Business Credit Card
17,36,13,18,16,200000,SBI,SimplyCLICK Credit Card
5,25,22,11,36,25000,SBI,BPCL Octane Credit Card
7,9,11,39,34,25000,ICICI,Amazon Pay Credit Card
29,19,14,18,21,120000,Yes Bank,YES First Business Credit Card
16,13,25,27,19,75000,IDFC First,Vistara Infinite Credit Card
9,24,32,15,21,35000,HDFC,SimplySAVE Credit Card
12,15,37,6,31,25000,Kotak,PVR Platinum Credit Card
1,19,26,49,6,50000,SBI,SimplyCLICK Credit Card
14,26,3,27,29,50000,ICICI,HPCL Super Saver Credit Card
28,25,10,14,23,200000,Standard Chartered,Super Value Titanium Credit Card
16,17,32,14,20,25000,IDFC First,First Classic Credit Card
4,33,19,35,9,50000,SBI,Flipkart Axis Bank Credit Card
15,26,27,23,10,120000,Yes Bank,YES First Business Credit Card
32,14,17,28,9,75000,Citibank,Cashback Credit Card
11,25,18,20,26,35000,IDFC First,Flipkart Axis Bank Credit Card
24,0,3,39,34,25000,IDFC First,First Classic Credit Card
15,37,8,3,37,50000,HDFC,Tata Neu Infinity Credit Card
30,14,18,17,21,35000,Yes Bank,Amazon Pay Credit Card
16,20,14,27,23,50000,ICICI,Amazon Pay Credit Card
29,27,24,6,14,120000,Yes Bank,YES First Business Credit Card
34,37,7,13,8,200000,Standard Chartered,Super Value Titanium Credit Card
23,19,17,22,19,35000,Citibank,Cashback Credit Card
20,20,13,24,23,35000,Axis,Ace Credit Card
39,11,31,15,4,120000,IDFC First,Vistara Infinite Credit Card
24,6,29,30,11,25000,Standard Chartered,Super Value Titanium Credit Card
25,23,4,24,23,35000,SBI,SimplyCLICK Credit Card
3,32,28,18,19,35000,Citibank,Cashback Credit Card
36,27,9,19,9,75000,Citibank,Cashback Credit Card
31,2,12,38,16,200000,Kotak,White Credit Card
37,12,6,39,6,75000,ICICI,Amazon Pay Credit Card
20,41,9,23,6,35000,Kotak,SimplyCLICK Credit Card
7,26,15,1,50,50000,Standard Chartered,Super Value Titanium Credit Card
47,6,19,10,19,200000,SBI,SimplyCLICK Credit Card
12,7,34,18,28,75000,IDFC First,Vistara Infinite Credit Card
54,7,16,9,14,50000,Kotak,League Platinum Credit Card
21,20,20,25,14,200000,Axis,Tata Neu Infinity Credit Card
1,19,31,35,14,50000,Axis,HPCL Super Saver Credit Card
22,26,29,17,6,35000,Axis,Ace Credit Card
23,29,2,18,28,35000,RBL,BankBazaar Credit Card
24,15,23,16,22,200000,IDFC First,Vistara Infinite Credit Card
31,5,14,20,30,25000,RBL,BankBazaar Credit Card
19,10,40,23,8,25000,Axis,Flipkart Axis Bank Credit Card
31,24,3,10,33,25000,Kotak,PVR Platinum Credit Card
24,33,7,32,4,25000,HDFC,BPCL Octane Credit Card
20,25,24,24,7,120000,Axis,Flipkart Axis Bank Credit Card
18,25,8,28,21,120000,Citibank,Cashback Credit Card
12,10,25,41,12,120000,SBI,SimplySAVE Credit Card
25,7,32,7,29,200000,Citibank,Cashback Credit Card
22,9,35,19,16,120000,ICICI,Coral Credit Card
25,15,36,15,9,120000,Kotak,PVR Platinum Credit Card
5,57,12,19,7,50000,RBL,BankBazaar Credit Card
14,40,24,13,9,35000,Citibank,SimplyCLICK Credit Card
29,30,14,0,26,50000,RBL,BankBazaar Credit Card
23,15,27,8,26,75000,SBI,Amazon Pay Credit Card
32,24,23,9,12,25000,SBI,SimplyCLICK Credit Card
13,17,24,21,24,120000,Standard Chartered,Super Value Titanium Credit Card
53,34,2,4,7,200000,Citibank,Cashback Credit Card
5,12,27,24,31,25000,Kotak,SimplySAVE Credit Card
20,3,33,1,42,25000,Axis,Flipkart Axis Bank Credit Card
20,13,34,27,6,35000,IDFC First,First Classic Credit Card
14,33,35,7,11,120000,Citibank,Cashback Credit Card
31,24,6,28,11,200000,RBL,Magnus Credit Card
11,30,19,26,14,25000,Standard Chartered,Super Value Titanium Credit Card
2,17,35,36,10,75000,RBL,BankBazaar Credit Card
1,25,2,60,12,25000,HDFC,Amazon Pay Credit Card
21,38,0,6,35,25000,HDFC,Super Value Titanium Credit Card
28,8,26,17,20,75000,Citibank,Cashback Credit Card
36,24,25,12,2,35000,SBI,SimplyCLICK Credit Card
40,18,6,20,17,200000,HDFC,Millennia Credit Card
23,6,19,41,10,35000,HDFC,Tata Neu Infinity Credit Card
17,42,24,13,4,50000,Axis,SimplyCLICK Credit Card
0,8,25,35,32,120000,ICICI,Coral Credit Card
14,35,14,31,6,35000,Standard Chartered,Super Value Titanium Credit Card
18,4,21,14,43,200000,HDFC,Millennia Credit Card
12,5,22,32,28,50000,Axis,Flipkart Axis Bank Credit Card
7,17,26,25,26,25000,HDFC,Amazon Pay Credit Card
26,16,9,16,32,120000,RBL,BankBazaar Credit Card
44,2,19,17,19,35000,Yes Bank,SimplyCLICK Credit Card
14,33,34,5,15,120000,Standard Chartered,Super Value Titanium Credit Card
48,13,7,5,27,35000,RBL,BankBazaar Credit Card
23,29,13,22,14,200000,Standard Chartered,Super Value Titanium Credit Card
19,2,39,21,18,25000,SBI,SimplySAVE Credit Card
40,8,18,7,27,75000,SBI,BPCL Octane Credit Card
4,27,20,36,13,25000,HDFC,Amazon Pay Credit Card
17,5,31,3,44,25000,Standard Chartered,Super Value Titanium Credit Card
6,36,15,17,26,200000,Yes Bank,YES First Business Credit Card
34,11,42,12,1,35000,IDFC First,First Classic Credit Card
36,34,3,2,24,200000,HDFC,Millennia Credit Card
28,11,23,8,31,75000,Yes Bank,YES First Business Credit Card
27,22,11,19,21,75000,Kotak,PVR Platinum Credit Card
9,25,37,24,5,25000,Yes Bank,Ace Credit Card
25,2,14,20,39,75000,RBL,BankBazaar Credit Card
34,16,9,5,37,35000,ICICI,Super Value Titanium Credit Card
27,3,31,31,8,200000,Axis,Flipkart Axis Bank Credit Card
1,3,31,14,50,35000,Kotak,PVR Platinum Credit Card
24,22,16,9,29,75000,HDFC,Regalia Gold
5,29,19,25,22,75000,ICICI,HPCL Super Saver Credit Card
27,25,0,35,14,50000,SBI,BPCL Octane Credit Card
27,31,5,0,36,120000,Kotak,White Credit Card
30,35,18,6,11,120000,ICICI,My Zone Credit Card
44,31,22,3,0,25000,Citibank,SimplyCLICK Credit Card
39,42,10,1,8,35000,ICICI,HPCL Super Saver Credit Card
0,36,41,16,7,75000,Axis,Flipkart Axis Bank Credit Card
11,18,3,38,30,120000,SBI,Elite Credit Card
10,31,0,28,31,25000,IDFC First,First Classic Credit Card
22,3,26,12,38,25000,Kotak,My Zone Credit Card
15,19,23,24,19,50000,ICICI,Amazon Pay Credit Card
19,12,29,23,18,50000,ICICI,Amazon Pay Credit Card
31,24,27,0,18,120000,Citibank,Cashback Credit Card
16,29,25,1,29,120000,Yes Bank,YES First Business Credit Card
16,35,8,11,29,35000,Yes Bank,Flipkart Axis Bank Credit Card
28,7,26,25,15,35000,Yes Bank,Flipkart Axis Bank Credit Card
0,2,45,44,9,75000,Yes Bank,YES First Business Credit Card
8,30,6,28,28,50000,Standard Chartered,Super Value Titanium Credit Card
7,23,32,26,11,75000,IDFC First,First Wealth Credit Card
27,28,33,1,11,35000,RBL,BankBazaar Credit Card
35,25,8,7,25,50000,Citibank,Cashback Credit Card
19,12,2,1,66,75000,Yes Bank,BPCL Octane Credit Card
6,32,13,23,26,25000,RBL,BankBazaar Credit Card
0,35,8,31,25,75000,RBL,BankBazaar Credit Card
17,25,27,30,1,75000,HDFC,Regalia Gold
13,33,29,15,10,75000,RBL,BankBazaar Credit Card
36,11,2,30,21,200000,RBL,BankBazaar Credit Card
28,23,17,2,30,50000,Standard Chartered,Super Value Titanium Credit Card
41,12,40,5,2,50000,Axis,Flipkart Axis Bank Credit Card
25,22,14,23,17,120000,ICICI,SimplyCLICK Credit Card
24,39,7,18,13,35000,IDFC First,First Classic Credit Card
21,5,37,24,13,120000,Kotak,White Credit Card
9,16,12,32,30,50000,Kotak,PVR Platinum Credit Card
13,25,17,18,26,25000,Kotak,Super Value Titanium Credit Card
16,15,34,14,20,120000,ICICI,HPCL Super Saver Credit Card
24,21,15,21,19,120000,SBI,Elite Credit Card
16,29,25,5,25,120000,Axis,Vistara Infinite Credit Card
6,3,26,31,34,25000,HDFC,Amazon Pay Credit Card
9,18,19,24,30,35000,HDFC,Tata Neu Infinity Credit Card
27,16,29,22,6,50000,Yes Bank,YES First Business Credit Card
1,32,21,16,30,120000,Standard Chartered,Super Value Titanium Credit Card
24,20,22,12,22,25000,HDFC,Super Value Titanium Credit Card
1,27,41,6,25,50000,HDFC,Ace Credit Card
2,30,13,31,25,200000,Standard Chartered,Super Value Titanium Credit Card
26,12,28,6,27,120000,RBL,BankBazaar Credit Card
20,14,6,35,26,75000,Axis,Flipkart Axis Bank Credit Card
8,6,20,41,26,120000,Axis,Flipkart Axis Bank Credit Card
16,28,27,11,18,75000,Yes Bank,YES First Business Credit Card
41,12,14,6,27,25000,Standard Chartered,Super Value Titanium Credit Card
0,3,32,33,32,75000,Kotak,White Credit Card
10,6,30,21,33,120000,ICICI,HPCL Super Saver Credit Card
32,26,26,6,10,35000,HDFC,Tata Neu Infinity Credit Card
24,38,11,19,8,200000,ICICI,Emerald Private Metal
25,12,17,40,6,200000,Standard Chartered,Super Value Titanium Credit Card
21,28,15,22,14,75000,Citibank,BankBazaar Credit Card
28,18,5,34,15,35000,HDFC,Tata Neu Infinity Credit Card
34,12,11,11,31,200000,HDFC,Tata Neu Infinity Credit Card
31,34,3,29,2,120000,Axis,Flipkart Axis Bank Credit Card
29,11,26,8,25,75000,Standard Chartered,Super Value Titanium Credit Card
27,22,23,21,8,50000,Axis,Flipkart Axis Bank Credit Card
36,7,14,31,12,50000,ICICI,Amazon Pay Credit Card
14,30,13,33,10,200000,Kotak,White Credit Card
6,34,19,36,6,25000,Axis,My Zone Credit Card
12,18,28,32,11,50000,IDFC First,Vistara Infinite Credit Card
31,18,16,35,0,35000,Axis,Cashback Credit Card
21,22,17,15,26,75000,ICICI,Amazon Pay Credit Card
11,2,51,0,36,50000,Axis,Ace Credit Card
30,21,29,14,6,120000,IDFC First,SimplySAVE Credit Card
13,28,9,21,29,120000,Kotak,Millennia Credit Card
6,45,6,33,10,200000,ICICI,Coral Credit Card
8,6,22,7,58,25000,Standard Chartered,Super Value Titanium Credit Card
10,32,29,12,17,50000,IDFC First,Vistara Infinite Credit Card
18,31,3,6,42,25000,Standard Chartered,SimplySAVE Credit Card
17,9,13,10,51,120000,RBL,BankBazaar Credit Card
36,6,46,7,6,120000,HDFC,Coral Credit Card
16,32,17,17,17,200000,HDFC,Diners Club Black
13,2,41,22,22,120000,Kotak,White Credit Card
44,6,17,4,29,25000,Yes Bank,Amazon Pay Credit Card
15,39,2,26,18,75000,SBI,SimplyCLICK Credit Card
26,5,19,20,30,75000,ICICI,Coral Credit Card
16,40,8,18,18,25000,Standard Chartered,Super Value Titanium Credit Card
12,12,35,10,30,200000,Axis,Ace Credit Card
15,12,28,20,26,120000,IDFC First,Vistara Infinite Credit Card
24,16,18,22,20,35000,RBL,BankBazaar Credit Card
19,18,20,23,19,50000,ICICI,Coral Credit Card
13,18,29,18,21,25000,Standard Chartered,Amazon Pay Credit Card
5,28,22,19,26,35000,Citibank,Cashback Credit Card
15,11,28,19,26,35000,Kotak,PVR Platinum Credit Card
6,29,42,9,14,75000,RBL,BankBazaar Credit Card
16,43,2,1,38,25000,Standard Chartered,HPCL Super Saver Credit Card
17,5,19,18,41,25000,Axis,Flipkart Axis Bank Credit Card
22,26,16,13,22,25000,Yes Bank,Amazon Pay Credit Card
9,11,31,21,27,120000,SBI,SimplySAVE Credit Card
35,21,17,6,21,35000,Citibank,Cashback Credit Card
44,24,3,13,15,50000,Standard Chartered,Super Value Titanium Credit Card
7,18,14,30,30,50000,Yes Bank,YES First Business Credit Card
6,24,15,15,39,120000,Citibank,Cashback Credit Card
21,21,12,22,24,75000,SBI,SimplyCLICK Credit Card
10,25,18,14,33,120000,IDFC First,Vistara Infinite Credit Card
21,18,26,16,18,25000,Standard Chartered,Super Value Titanium Credit Card
7,16,15,32,30,50000,RBL,BankBazaar Credit Card
3,7,13,15,63,200000,IDFC First,First Wealth Credit Card
29,11,33,25,2,200000,HDFC,Tata Neu Infinity Credit Card
2,24,30,28,16,35000,SBI,SimplyCLICK Credit Card
10,17,9,49,16,35000,RBL,BankBazaar Credit Card
15,30,8,23,24,25000,Axis,My Zone Credit Card
31,17,12,4,37,75000,ICICI,HPCL Super Saver Credit Card
17,38,3,22,20,35000,SBI,Coral Credit Card
27,26,19,9,20,75000,RBL,BankBazaar Credit Card
0,43,5,38,13,25000,Yes Bank,Amazon Pay Credit Card
18,33,5,38,6,75000,IDFC First,Vistara Infinite Credit Card
20,23,29,12,15,200000,Kotak,PVR Platinum Credit Card
19,22,10,33,16,120000,Citibank,Cashback Credit Card
30,25,0,30,15,35000,Standard Chartered,Super Value Titanium Credit Card
18,19,15,23,25,75000,ICICI,Amazon Pay Credit Card
30,30,7,16,18,75000,Axis,Ace Credit Card
20,27,25,19,9,200000,Axis,Flipkart Axis Bank Credit Card
16,39,23,2,20,35000,Standard Chartered,Super Value Titanium Credit Card
28,26,17,26,2,200000,ICICI,Amazon Pay Credit Card
13,17,21,41,9,120000,ICICI,Coral Credit Card
8,43,22,21,6,25000,Axis,Flipkart Axis Bank Credit Card
35,13,0,43,9,35000,ICICI,Amazon Pay Credit Card
0,59,9,8,24,120000,Axis,Flipkart Axis Bank Credit Card
14,4,30,38,14,75000,Standard Chartered,Super Value Titanium Credit Card
6,16,31,22,25,200000,Citibank,Cashback Credit Card
17,27,31,19,5,200000,Kotak,PVR Platinum Credit Card
33,24,18,6,19,75000,Kotak,PVR Platinum Credit Card
27,20,2,22,28,50000,Kotak,League Platinum Credit Card
19,10,11,34,26,25000,Kotak,PVR Platinum Credit Card
12,29,4,14,42,200000,Kotak,White Credit Card
29,3,26,12,31,120000,Citibank,Cashback Credit Card
40,24,30,1,5,25000,Kotak,Amazon Pay Credit Card
33,49,4,10,3,200000,RBL,BankBazaar Credit Card
29,12,22,9,29,35000,ICICI,Coral Credit Card
4,11,32,30,24,75000,Axis,My Zone Credit Card
37,28,12,21,2,75000,ICICI,HPCL Super Saver Credit Card
15,34,24,26,1,35000,SBI,SimplyCLICK Credit Card
22,15,37,14,12,120000,Yes Bank,YES First Business Credit Card
27,19,29,20,6,50000,Axis,Flipkart Axis Bank Credit Card
32,34,10,11,13,50000,Citibank,Cashback Credit Card
14,19,34,24,9,35000,Yes Bank,SimplyCLICK Credit Card
10,34,40,6,10,200000,Yes Bank,YES First Business Credit Card
2,1,30,34,33,200000,Yes Bank,YES First Business Credit Card
24,22,13,5,36,120000,Citibank,Tata Neu Infinity Credit Card
31,30,11,27,0,35000,Standard Chartered,Super Value Titanium Credit Card
24,15,24,26,11,120000,RBL,BankBazaar Credit Card
34,8,1,32,25,25000,Axis,Ace Credit Card
14,30,19,21,17,35000,Axis,My Zone Credit Card
30,3,26,21,21,50000,Citibank,Cashback Credit Card
33,25,26,2,14,120000,Standard Chartered,Super Value Titanium Credit Card
23,11,25,4,37,35000,ICICI,Amazon Pay Credit Card
3,33,9,25,30,75000,SBI,SimplySAVE Credit Card
41,1,11,40,7,120000,Kotak,Diners Club Black
19,26,24,6,25,50000,HDFC,Tata Neu Infinity Credit Card
3,28,16,34,20,75000,Standard Chartered,Regalia Gold
7,26,30,11,26,120000,Standard Chartered,Vistara Infinite Credit Card
28,12,8,22,30,120000,HDFC,Diners Club Black
11,23,34,27,5,25000,Axis,Flipkart Axis Bank Credit Card
6,33,33,1,27,50000,RBL,BankBazaar Credit Card
32,11,42,13,1,50000,IDFC First,Vistara Infinite Credit Card
4,39,32,7,17,35000,HDFC,Tata Neu Infinity Credit Card
20,18,18,38,6,200000,Axis,Flipkart Axis Bank Credit Card
27,5,21,25,22,25000,RBL,BankBazaar Credit Card
4,41,49,4,3,50000,SBI,SimplyCLICK Credit Card
26,3,28,25,18,200000,HDFC,Regalia Gold
8,20,20,29,24,35000,Kotak,PVR Platinum Credit Card
15,30,5,10,40,35000,HDFC,Tata Neu Infinity Credit Card
28,6,13,34,19,35000,RBL,BankBazaar Credit Card
7,15,41,34,4,200000,HDFC,Millennia Credit Card
31,17,10,18,24,50000,ICICI,Amazon Pay Credit Card
9,31,33,8,19,35000,RBL,HPCL Super Saver Credit Card
14,19,26,11,29,50000,Axis,My Zone Credit Card
21,10,3,17,48,50000,IDFC First,Vistara Infinite Credit Card
14,31,22,29,5,50000,HDFC,Tata Neu Infinity Credit Card
1,29,1,51,18,75000,SBI,BPCL Octane Credit Card
26,34,12,16,11,75000,HDFC,White Credit Card
19,27,26,15,13,50000,Kotak,First Classic Credit Card
13,27,16,21,23,35000,Citibank,Cashback Credit Card
11,33,5,37,14,75000,Yes Bank,YES First Business Credit Card
33,24,4,33,4,75000,IDFC First,First Wealth Credit Card
37,28,0,24,12,120000,Standard Chartered,Super Value Titanium Credit Card
17,2,23,28,30,25000,RBL,BankBazaar Credit Card
31,29,15,10,14,50000,Standard Chartered,My Zone Credit Card
13,26,14,36,10,120000,Yes Bank,YES First Business Credit Card
21,13,12,25,28,120000,IDFC First,First Wealth Credit Card
18,29,19,4,29,120000,RBL,BankBazaar Credit Card
27,13,11,26,24,50000,Citibank,Cashback Credit Card
12,33,9,32,14,75000,HDFC,Millennia Credit Card
30,18,18,24,10,50000,HDFC,Coral Credit Card
23,23,19,17,19,25000,Axis,Ace Credit Card
38,36,20,3,4,200000,Citibank,Cashback Credit Card
19,20,15,15,31,50000,RBL,BankBazaar Credit Card
23,10,29,24,14,50000,HDFC,Millennia Credit Card
25,38,1,14,22,25000,Kotak,Amazon Pay Credit Card
1,13,47,34,5,50000,Yes Bank,YES First Business Credit Card
1,30,34,30,5,25000,SBI,SimplyCLICK Credit Card
4,24,21,21,30,25000,SBI,SimplyCLICK Credit Card
27,33,4,27,9,25000,Citibank,Flipkart Axis Bank Credit Card
22,34,24,19,1,25000,Yes Bank,Amazon Pay Credit Card
33,1,27,13,26,120000,Axis,Flipkart Axis Bank Credit Card
42,9,11,14,24,200000,Kotak,White Credit Card
18,22,18,3,40,25000,RBL,BankBazaar Credit Card
0,1,0,42,58,50000,HDFC,Millennia Credit Card
17,16,14,17,35,50000,ICICI,HPCL Super Saver Credit Card
27,9,3,33,29,35000,RBL,Millennia Credit Card
23,21,24,18,15,35000,Axis,Ace Credit Card
